shot,start,end,duration_seconds,visual,technical_label,transition
S01,00:00,00:20,20,标题卡与四项能力快闪,多智能体个性化学习平台,淡入与快速切换
S02,00:20,00:45,25,登录与首页总览,腾讯云真实服务,直接切换
S03,00:45,01:20,35,知识图谱展开哈希表,知识图谱 + 节点依赖,轻推镜
S04,01:20,02:00,40,学生画像与六项学习路径,画像 Agent → 规划 Agent → RAG,页面直接切换
S05,02:00,02:50,50,问答助手真实回答与历史,DeepSeek + 课程材料检索,等待段跳剪
S06,02:50,03:25,35,哈希表交互思维导图,资源 Agent → 多模态 Agent → Safety Agent,直接切换
S07,03:25,04:15,50,哈希教学视频与流水线,Scene DSL + 豆包 TTS + Remotion,视频片段硬切
S08,04:15,05:15,60,栈的实时数字人解答,讯飞对话模型 + 在线虚拟人 + HLS,等待段跳剪
S09,05:15,06:00,45,循环左移数组 Judge0 判题,Judge0 沙箱判题,AC 与 WA 快闪
S10,06:00,06:25,25,Markdown 学习笔记保存,PostgreSQL 持久化,直接切换
S11,06:25,06:45,20,首页推荐与总结卡,可追踪 · 可审核 · 可使用,淡出

